gameID,season,position,player,handedness,opponent,controller,runs,balls_faced,dismissal,bowler,fours,sixes,fow,sr,pct_runs_boundaries
5,1,8,M. Santner,left,West Indies,RM,10,21,lbw,D. Bishoo,0,0,241,47.62,0.00
5,1,9,T. Southee,right,West Indies,AA,6,18,run_out,,0,0,239,33.33,0.00
5,1,10,N. Wagner,left,West Indies,AA,5,51,caught_behind,J. Holder,0,0,264,9.80,0.00
5,1,11,T. Boult,right,West Indies,RM,16,31,not_out,,1,0,,51.61,25.00
5,1,0,Extras,,West Indies,,7,,,,,,,0.00,#N/A
6,1,1,J. Raval,left,Sri Lanka,AA,31,71,caught_behind,A. Mathews,4,0,79,43.66,51.61
6,1,2,T. Latham,left,Sri Lanka,RM,21,30,run_out,,3,0,36,70.00,57.14
6,1,3,K. Williamson,right,Sri Lanka,RM,5,6,run_out,,0,0,50,83.33,0.00
6,1,4,R. Taylor,right,Sri Lanka,RM,81,70,caught_bowler,N. Pradeep,12,0,180,115.71,59.26
6,1,5,H. Nicholls,left,Sri Lanka,AA,14,18,run_out,,3,0,103,77.78,85.71
6,1,6,B. Watling,right,Sri Lanka,AA,16,25,caught,R. Herath,1,0,170,64.00,25.00
6,1,7,C. de Grandhomme,right,Sri Lanka,AA,29,48,caught,R. Herath,2,0,240,60.42,27.59
6,1,8,M. Santner,left,Sri Lanka,RM,57,111,caught_behind,R. Herath,9,0,325,51.35,63.16
6,1,9,T. Southee,right,Sri Lanka,AA,126,134,caught_behind,S. Lakmal,19,0,410,94.03,60.32
6,1,10,N. Wagner,left,Sri Lanka,RM,4,24,caught_behind,N. Pradeep,0,0,353,16.67,0.00
6,1,11,T. Boult,right,Sri Lanka,RM,17,22,not_out,,2,0,,77.27,47.06
6,1,0,Extras,,Sri Lanka,,9,,,,,,,0.00,#N/A
7,1,1,J. Raval,left,Pakistan,AA,11,6,stumped,M. Amir,2,0,12,183.33,72.73
7,1,2,T. Latham,left,Pakistan,RM,43,84,run_out,,6,0,75,51.19,55.81
7,1,3,K. Williamson,right,Pakistan,AA,1,3,bowled,W. Riaz,0,0,13,33.33,0.00
7,1,4,R. Taylor,right,Pakistan,AA,67,161,caught_gully,M. Amir,9,0,174,41.61,53.73
7,1,5,H. Nicholls,left,Pakistan,RM,0,3,caught_behind,W. Riax,0,0,76,0.00,0.00
7,1,6,B. Watling,right,Pakistan,RM,20,18,caught_behind,I. Khan,3,0,98,111.11,60.00
7,1,7,C. de Grandhomme,right,Pakistan,RM,0,5,run_out,,0,0,98,0.00,0.00
7,1,8,M. Santner,left,Pakistan,RM,15,27,caught_behind,W. Riaz,0,0,136,55.56,0.00
7,1,9,T. Southee,right,Pakistan,RM,11,34,run_out,,2,0,162,32.35,72.73
7,1,10,N. Wagner,left,Pakistan,RM,3,20,bowled,Y. Shah,0,0,,15.00,0.00
7,1,11,T. Boult,right,Pakistan,AA,1,2,not_out,,0,0,176,50.00,0.00
7,1,0,Extras,,Pakistan,,4,,,,,,,0.00,#N/A
8,1,1,J. Raval,left,South Africa,AA,46,78,caught_behind,K. Abbott,6,0,90,58.97,52.17
8,1,2,T. Latham,left,South Africa,RM,34,84,caught_slip,J. Duminy,3,0,82,40.48,35.29
8,1,3,K. Williamson,right,South Africa,RM,20,34,caught_slip,D. Steyn,4,0,117,58.82,80.00
8,1,4,R. Taylor,right,South Africa,AA,13,38,caught_behind,K. Abbott,2,0,136,34.21,61.54
8,1,5,H. Nicholls,left,South Africa,RM,15,18,bowled,D. Steyn,2,0,133,83.33,53.33
8,1,6,B. Watling,right,South Africa,RM,9,23,run_out,,2,0,148,39.13,88.89
8,1,7,C. de Grandhomme,right,South Africa,AA,28,58,caught_square_leg,D. Steyn,3,0,201,48.28,42.86
8,1,8,M. Santner,left,South Africa,RM,9,30,caught_square_leg,M. Morkel,2,0,175,30.00,88.89
8,1,9,T. Southee,right,South Africa,RM,38,56,not_out,,5,0,,67.86,52.63
8,1,10,N. Wagner,left,South Africa,AA,0,10,caught_slip,D. Steyn,0,0,209,0.00,0.00
8,1,11,T. Boult,right,South Africa,AA,3,8,caught_behind,D. Steyn,,,223,37.50,0.00
8,1,0,Extras,,South Africa,,8,,,,,,,0.00,#N/A
9,1,1,J. Raval,left,England,AA,15,49,caught_behind,C. Woakes,3,0,23,30.61,80.00
9,1,2,T. Latham,left,England,RM,60,107,stumped,M. Ali,11,0,85,56.07,73.33
9,1,3,K. Williamson,right,England,AA,5,21,bowled,B. Stokes,1,0,40,23.81,80.00
9,1,4,R. Taylor,right,England,AA,4,10,caught_behind,B. Stokes,1,0,58,40.00,100.00
9,1,5,H. Nicholls,left,England,AA,95,218,bowled,C. Woakes,15,0,232,43.58,63.16
9,1,6,B. Watling,right,England,RM,32,118,caught_behind,C. Woakes,5,0,198,27.12,62.50
9,1,7,C. de Grandhomme,right,England,RM,81,121,caught_fine_leg,C. Woakes,15,0,343,66.94,74.07
9,1,8,M. Santner,left,England,AA,37,78,caught_slip,C. Woakes,5,0,343,47.44,54.05
9,1,9,T. Southee,right,England,RM,39,28,caught_slip,J. Anderson,8,0,390,139.29,82.05
9,1,10,N. Wagner,left,England,AA,8,27,caught_behind,J. Anderson,1,0,394,29.63,50.00
9,1,11,T. Boult,right,England,RM,2,8,not_out,,0,0,,25.00,0.00
9,1,0,Extras,,England,,16,,,,,,,0.00,#N/A
10,1,1,J. Raval,left,Australia,AA,38,77,caught_behind,N. Lyon,6,0,73,49.35,63.16
10,1,2,T. Latham,left,Australia,RM,17,48,caught_behind,N. Lyon,3,0,38,35.42,70.59
10,1,3,K. Williamson,right,Australia,RM,8,23,bowled,N. Lyon,1,0,61,34.78,50.00
10,1,4,R. Taylor,right,Australia,RM,8,30,caught_behind,N. Lyon,1,0,74,26.67,50.00
10,1,5,H. Nicholls,left,Australia,AA,0,7,lbw,N. Lyon,0,0,73,0.00,0.00
10,1,6,B. Watling,right,Australia,AA,89,185,not_out,,12,0,,48.11,53.93
10,1,7,C. de Grandhomme,right,Australia,RM,4,10,caught_behind,N. Lyon,1,0,85,40.00,100.00
10,1,8,M. Santner,left,Australia,RM,16,22,bowled,J. Bird,1,0,109,72.73,25.00
10,1,9,T. Southee,right,Australia,RM,17,17,run_out,,1,0,147,100.00,23.53
10,1,10,N. Wagner,left,Australia,RM,20,59,caught_short_leg,N. Lyon,1,0,198,33.90,20.00
10,1,11,T. Boult,right,Australia,RM,8,27,run_out,,0,0,231,29.63,0.00
10,1,0,Extras,,Australia,,6,,,,,,,0.00,#N/A
11,1,1,J. Raval,left,New Zealand,AA,83,121,caught_behind,T. Southee,11,0,132,68.60,53.01
11,1,2,T. Latham,left,New Zealand,RM,29,60,caught_bowler,D. Bracewell,4,0,95,48.33,55.17
11,1,3,K. Williamson,right,New Zealand,RM,11,23,run_out,,1,0,118,47.83,36.36
11,1,4,R. Taylor,right,New Zealand,RM,44,75,run_out,,4,0,209,58.67,36.36
11,1,5,H. Nicholls,left,New Zealand,AA,12,26,caught_behind,T. Southee,2,0,155,46.15,66.67
11,1,6,B. Watling,right,New Zealand,AA,20,33,caught_gully,C. Anderson,1,0,192,60.61,20.00
11,1,7,C. de Grandhomme,right,New Zealand,AA,36,57,run_out,,5,0,276,63.16,55.56
11,1,8,M. Santner,left,New Zealand,RM,37,63,caught_behind,D. Bracewell,4,0,276,58.73,43.24
11,1,9,T. Southee,right,New Zealand,RM,26,42,not_out,,2,0,,61.90,30.77
11,1,10,N. Wagner,left,New Zealand,AA,6,15,caught_gully,T. Southee,1,0,291,40.00,66.67
11,1,11,T. Boult,right,New Zealand,AA,13,17,caught_behind,D. Bracewell,1,0,322,76.47,30.77
11,1,0,Extras,,New Zealand,,5,,,,,,,0.00,#N/A
12,1,1,J. Raval,left,India,AA,69,187,bowled,I. Sharma,8,0,173,36.90,46.38
12,1,2,T. Latham,left,India,RM,40,50,bowled,R. Jadeja,8,0,56,80.00,80.00
12,1,3,K. Williamson,right,India,RM,123,266,run_out,,16,0,286,46.24,52.03
12,1,4,R. Taylor,right,India,AA,28,57,lbw,U. Yadav,4,0,220,49.12,57.14
12,1,5,H. Nicholls,left,India,AA,5,16,caught_behind,R. Ashwin,1,0,241,31.25,80.00
12,1,6,B. Watling,right,India,AA,60,121,caught_behind,U. Yadav,8,0,358,49.59,53.33
12,1,7,C. de Grandhomme,right,India,RM,82,197,caught_behind,R. Ashwin,11,0,481,41.62,53.66
12,1,8,M. Santner,left,India,AA,107,161,bowled,R. Ashwin,19,0,585,66.46,71.03
12,1,9,T. Southee,right,India,RM,53,78,caught_behind,I. Sharma,6,0,575,67.95,45.28
12,1,10,N. Wagner,left,India,RM,10,21,not_out,,0,0,,47.62,0.00
12,1,11,T. Boult,right,India,AA,2,8,caught,U. Yadav,0,0,593,25.00,0.00
12,1,0,Extras,,India,,14,,,,,,,0.00,#N/A
13,2,1,T. Latham,left,Ireland,AA,108,172,stumped,G. Dockrell,18,0,174,62.79,66.67
13,2,2,T. Blundell,right,Ireland,RM,10,16,bowled,T. Murtagh,1,0,29,62.50,40.00
13,2,3,K. Williamson,right,Ireland,RM,4,8,caught_behind,T. Murtagh,1,0,44,50.00,100.00
13,2,4,R. Taylor,right,Ireland,RM,9,26,caught_behind,B. Rankin,1,0,75,34.62,44.44
13,2,5,H. Nicholls,left,Ireland,RM,40,122,caught_behind,G. Dockrell,4,0,190,32.79,40.00
13,2,6,B. Watling,right,Ireland,AA,62,114,caught_slip,K. O'Brien,9,0,292,54.39,58.06
13,2,7,C. de Grandhomme,right,Ireland,RM,6,16,caught_short_leg,G. Dockrell,1,0,207,37.50,66.67
13,2,8,T. Southee,left,Ireland,RM,3,13,bowled,K. O'Brien,0,0,225,23.08,0.00
13,2,9,N. Wagner,left,Ireland,RM,15,45,bowled,K. O'Brien,1,0,265,33.33,26.67
13,2,10,A. Patel,right,Ireland,RM,34,81,not_out,,3,0,,41.98,35.29
13,2,11,T. Boult,right,Ireland,AA,30,67,caught_behind,G. Dockrell,3,0,347,44.78,40.00
13,2,0,Extras,,Ireland,,26,,,,,,,0.00,#N/A
14,2,0,T. Latham,left,Afghanistan,AA,119,177,run_out,,12,0,205,67.23,40.34
14,2,1,T. Blundell,right,Afghanistan,RM,0,0,run_out,,0,0,4,0.00,0.00
14,2,2,K. Williamson,right,Afghanistan,RM,100,245,caught_behind,R. Shah,8,0,231,40.82,32.00
14,2,3,R. Taylor,right,Afghanistan,AA,11,30,caught,Z. Khan,1,0,242,36.67,36.36
14,2,4,H. Nicholls,left,Afghanistan,RM,9,10,caught,R. Shah,1,0,241,90.00,44.44
14,2,5,B. Watling,right,Afghanistan,RM,29,70,caught_behind,Y. Ahmadzai,3,0,301,41.43,41.38
14,2,6,C. de Grandhomme,right,Afghanistan,AA,7,25,run_out,,0,0,264,28.00,0.00
14,2,7,T. Southee,left,Afghanistan,AA,14,24,caught_behind,R. Khan,1,0,281,58.33,28.57
14,2,8,N. Wagner,left,Afghanistan,AA,67,159,caught,R. Khan,5,0,407,42.14,29.85
14,2,9,A. Patel,right,Afghanistan,RM,53,150,not_out,,1,0,,35.33,7.55
14,2,10,T. Boult,right,Afghanistan,AA,16,46,caught_behind,R. Khan,2,0,429,34.78,50.00
14,2,11,Extras,,Afghanistan,,4,,,,,,,0.00,#N/A
15,2,0,T. Latham,left,Zimbabwe,AA,97,148,caught_behind,V. Ndlovu,16,0,180,65.54,65.98
15,2,1,T. Blundell,right,Zimbabwe,RM,31,43,bowled,C. Tshuma,5,0,72,72.09,64.52
15,2,2,K. Williamson,right,Zimbabwe,RM,26,62,caught_behind,C. Tshuma,4,0,153,41.94,61.54
15,2,3,R. Taylor,right,Zimbabwe,RM,152,282,caught_behind,V. Ndlovu,22,1,523,53.90,61.84
15,2,4,H. Nicholls,left,Zimbabwe,AA,26,41,caught_behind,C. Tshuma,5,0,228,63.41,76.92
15,2,5,B. Watling,right,Zimbabwe,AA,16,19,caught_behind,V. Ndlovu,3,0,250,84.21,75.00
15,2,6,C. de Grandhomme,right,Zimbabwe,AA,213,273,bowled,A. Nyauchi,36,0,612,78.02,67.61
15,2,7,T. Southee,left,Zimbabwe,RM,38,78,caught_behind,D. Tiripano,5,0,612,48.72,52.63
15,2,8,N. Wagner,left,Zimbabwe,AA,12,23,not_out,,3,0,,52.17,100.00
15,2,9,A. Patel,right,Zimbabwe,RM,0,2,caught_bowler,D. Tiripano,0,0,612,0.00,0.00
15,2,10,T. Boult,right,Zimbabwe,RM,17,18,caught_behind,V. Ndlovu,2,0,642,94.44,47.06
15,2,11,Extras,,Zimbabwe,,14,,,,,,,,
